iter	R2	RMSE
0	0.0484087212	36522.11884
1	0.09397660777	35636.94314
2	0.1368159946	34784.23295
3	0.177235962	33960.05533
4	0.2160646427	33149.03308
5	0.2524188258	32371.28333
6	0.2866924629	31620.53002
7	0.3195145858	30884.46973
8	0.3500447466	30183.69946
9	0.3790154995	29503.33557
10	0.4070548973	28829.55786
11	0.4337166984	28173.94202
12	0.4591402903	27534.2375
13	0.4823837257	26936.09902
14	0.5045287583	26353.6009
15	0.5257803155	25782.23291
16	0.545258317	25247.19423
17	0.5647168375	24701.12155
18	0.5832277479	24170.19405
19	0.6003286571	23669.1272
20	0.6168971963	23173.32774
21	0.6324767681	22697.24456
22	0.6474230319	22230.93394
23	0.6614460593	21784.35348
24	0.6750546251	21342.03947
25	0.6879722131	20913.53147
26	0.6999137845	20509.43809
27	0.7116933776	20102.86924
28	0.722659879	19716.82987
29	0.7333715115	19332.32173
30	0.7434862582	18962.08359
31	0.7533195693	18595.08157
32	0.7623759199	18250.55026
33	0.7713672443	17901.93452
34	0.7798504718	17566.67709
35	0.7876233353	17253.77526
36	0.7950912256	16947.70971
37	0.8022091512	16650.75136
38	0.8090743382	16359.23123
39	0.8159157728	16063.45748
40	0.8223743633	15779.14847
41	0.8284604268	15506.4685
42	0.8341900681	15245.3012
43	0.8397598517	14987.05869
44	0.845099372	14735.24387
45	0.8503746681	14482.15869
46	0.855314833	14241.07402
47	0.859860296	14015.58845
48	0.8643524151	13789.127
49	0.8687650074	13562.99383
50	0.8729295189	13346.06009
51	0.8768887588	13136.49769
52	0.8806557808	12933.95759
53	0.8842428603	12738.09936
54	0.8877179623	12545.43953
55	0.891026078	12359.2475
56	0.8942110695	12177.2957
57	0.8972660413	12000.17972
58	0.9003100359	11821.061
59	0.9031318916	11652.55465
60	0.9059869718	11479.54724
61	0.908627205	11317.20528
62	0.911162462	11159.09554
63	0.9135108748	11010.61281
64	0.9158208008	10862.58365
65	0.9180583295	10717.24466
66	0.9201899976	10576.92441
67	0.9223191909	10434.8836
68	0.9242786697	10302.43437
69	0.9262614904	10166.65102
70	0.9281847796	10033.18887
71	0.929941123	9909.741469
72	0.9316416349	9788.735018
73	0.9332683838	9671.560669
74	0.9347997598	9559.943742
75	0.9363925996	9442.447135
76	0.9379118565	9328.999632
77	0.9393351393	9221.452664
78	0.940684939	9118.286409
79	0.9420188636	9015.173729
80	0.9432359661	8920.051548
81	0.944453487	8823.870771
82	0.9456701223	8726.701124
83	0.9468386097	8632.347284
84	0.9478796428	8547.407908
85	0.948971295	8457.422212
86	0.9500080675	8371.064751
87	0.9510072735	8286.984819
88	0.9519576206	8206.216927
